Jugador del golpeo;Nombre;Rally;Stroke;Zone;Posición;Duración;WR Player1;Tournament;Match;Round;WR Player2;Interval;Player2;#Rounds;Play R or L Player1;Country Player1;Country Player2;Rally Time;Play R or L Player2;Player1;Set;Field Position;Player on C1;Type of service;Game Phase;Rally Outcome;Rest Time;Barrido Fuerte;Tipo de recepcion;Reves;Match Duration
Akane Yamaguchi;"-9;-54";6;11;12;752680;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;Before;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;12;;;Attack;;;;;;
An Se Young;"-19;33";6;12;Out;753160;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;Before;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;OUT SIDE;;;Construccion;Unforced Akane Yamaguchi;;;;;
An Se Young;Rest Time (5);6;;;755160;19880;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;Before;An Se Young;5;Right handed;JPN;KOR;;Right handed;Akane Yamaguchi;1;;;;;;Rest Time;;;;
An Se Young;Rally Time (6);7;;;775040;12600;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;Before;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;;;;;;;;;;
An Se Young;"3;30";7;1;7;773040;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;Before;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;7;An Se Young;Forehand long service;Construccion;;;;;;
Akane Yamaguchi;"-4;-54";7;2;11;775320;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;Before;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;11;;;Construccion;;;;;;
An Se Young;"-14;54 (4)";7;3;9;776360;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;Before;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;9;;;Defence;;;;;;
Akane Yamaguchi;"-13;-55 (1)";7;4;12;777760;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;Before;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;12;;;Attack;;;;;;
An Se Young;"-11;25";7;5;5;778480;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;Before;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;5;;;Defence;;;;;;
Akane Yamaguchi;"14;-15";7;6;1;779680;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;Before;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;1;;;Construccion;;;;;;
