Jugador del golpeo;Nombre;Rally;Stroke;Zone;Posición;Duración;#Rounds;Country Player1;Country Player2;Interval;Match;Play R or L Player1;Play R or L Player2;Player1;Player2;Rally Time;Round;Set;Tournament;WR Player1;WR Player2;Field Position;Player on C1;Type of service;Zona de C1;Rally Outcome;Rest Time;Barrido Fuerte;Game Phase;Reves;Tipo de recepcion;Match Duration
Beiwen Zhang;"-14;46 (1)";6;6;5;139466;5000;5;ESP;USA;Before;Clara Azurmendi-Beiwen Zhang;Right handed;Right handed;Clara Azurmendi;Beiwen Zhang;Rally Time;2;1;Spain Masters 2023;40;21;5;;;;Winner Clara Azurmendi;;;Construccion;;;
Beiwen Zhang;Rest Time (6);6;;;142066;13733;5;ESP;USA;Before;Clara Azurmendi-Beiwen Zhang;Right handed;Right handed;Clara Azurmendi;Beiwen Zhang;;2;1;Spain Masters 2023;40;21;;;;;;Rest Time;;;;;
Beiwen Zhang;Rally Time (7);7;;;155800;3633;5;ESP;USA;Before;Clara Azurmendi-Beiwen Zhang;Right handed;Right handed;Clara Azurmendi;Beiwen Zhang;Rally Time;2;1;Spain Masters 2023;40;21;;;;;;;;;;;
Clara Azurmendi;"2;-26 (1)";7;1;6;153800;5000;5;ESP;USA;Before;Clara Azurmendi-Beiwen Zhang;Right handed;Right handed;Clara Azurmendi;Beiwen Zhang;Rally Time;2;1;Spain Masters 2023;40;21;6;Clara Azurmendi;Backhand short service;7;;;;Construccion;;;
Beiwen Zhang;"-10;17 (1)";7;2;1;154833;5000;5;ESP;USA;Before;Clara Azurmendi-Beiwen Zhang;Right handed;Right handed;Clara Azurmendi;Beiwen Zhang;Rally Time;2;1;Spain Masters 2023;40;21;1;;;;;;;Construccion;;Finta;
Clara Azurmendi;"-13;-55 (1)";7;3;12;155133;5000;5;ESP;USA;Before;Clara Azurmendi-Beiwen Zhang;Right handed;Right handed;Clara Azurmendi;Beiwen Zhang;Rally Time;2;1;Spain Masters 2023;40;21;12;;;;;;;Defence;;;
Beiwen Zhang;"11;62 (1)";7;4;12;156166;5000;5;ESP;USA;Before;Clara Azurmendi-Beiwen Zhang;Right handed;Right handed;Clara Azurmendi;Beiwen Zhang;Rally Time;2;1;Spain Masters 2023;40;21;OUT LENGTH;;;;Error Clara Azurmendi;;;Construccion;;;
Beiwen Zhang;Rest Time (7);7;;;159433;11666;5;ESP;USA;Before;Clara Azurmendi-Beiwen Zhang;Right handed;Right handed;Clara Azurmendi;Beiwen Zhang;;2;1;Spain Masters 2023;40;21;;;;;;Rest Time;;;;;
Beiwen Zhang;Rally Time (8);8;;;171100;29933;5;ESP;USA;Before;Clara Azurmendi-Beiwen Zhang;Right handed;Right handed;Clara Azurmendi;Beiwen Zhang;Rally Time;2;1;Spain Masters 2023;40;21;;;;;;;;;;;
Beiwen Zhang;"2;25 (1)";8;1;7;169100;5000;5;ESP;USA;Before;Clara Azurmendi-Beiwen Zhang;Right handed;Right handed;Clara Azurmendi;Beiwen Zhang;Rally Time;2;1;Spain Masters 2023;40;21;7;Beiwen Zhang;Backhand short service;7;;;;Construccion;;;
Clara Azurmendi;"-9;-17 (1)";8;2;4;170233;5000;5;ESP;USA;Before;Clara Azurmendi-Beiwen Zhang;Right handed;Right handed;Clara Azurmendi;Beiwen Zhang;Rally Time;2;1;Spain Masters 2023;40;21;4;;;;;;;Construccion;;;
Beiwen Zhang;"12;11 (1)";8;3;4;170233;5000;5;ESP;USA;Before;Clara Azurmendi-Beiwen Zhang;Right handed;Right handed;Clara Azurmendi;Beiwen Zhang;Rally Time;2;1;Spain Masters 2023;40;21;4;;;;;;;Defence;;;
Clara Azurmendi;"-14;-55 (1)";8;4;12;171566;5000;5;ESP;USA;Before;Clara Azurmendi-Beiwen Zhang;Right handed;Right handed;Clara Azurmendi;Beiwen Zhang;Rally Time;2;1;Spain Masters 2023;40;21;12;;;;;;;Defence;;;
Beiwen Zhang;"12;9 (1)";8;5;4;172333;5000;5;ESP;USA;Before;Clara Azurmendi-Beiwen Zhang;Right handed;Right handed;Clara Azurmendi;Beiwen Zhang;Rally Time;2;1;Spain Masters 2023;40;21;4;;;;;;;Defence;;;
Clara Azurmendi;"-11;-54 (1)";8;6;12;173833;5000;5;ESP;USA;Before;Clara Azurmendi-Beiwen Zhang;Right handed;Right handed;Clara Azurmendi;Beiwen Zhang;Rally Time;2;1;Spain Masters 2023;40;21;12;;;;;;;Attack;;;
Beiwen Zhang;"-15;36 (1)";8;7;5;175900;5000;5;ESP;USA;Before;Clara Azurmendi-Beiwen Zhang;Right handed;Right handed;Clara Azurmendi;Beiwen Zhang;Rally Time;2;1;Spain Masters 2023;40;21;5;;;;;;;Defence;;;
Clara Azurmendi;"-9;-12 (1)";8;8;4;175900;5000;5;ESP;USA;Before;Clara Azurmendi-Beiwen Zhang;Right handed;Right handed;Clara Azurmendi;Beiwen Zhang;Rally Time;2;1;Spain Masters 2023;40;21;4;;;;;;;Construccion;;;
Beiwen Zhang;"-3;8 (1)";8;9;2;175900;5000;5;ESP;USA;Before;Clara Azurmendi-Beiwen Zhang;Right handed;Right handed;Clara Azurmendi;Beiwen Zhang;Rally Time;2;1;Spain Masters 2023;40;21;2;;;;;;;Construccion;;;
Clara Azurmendi;"10;-8 (1)";8;10;1;175900;5000;5;ESP;USA;Before;Clara Azurmendi-Beiwen Zhang;Right handed;Right handed;Clara Azurmendi;Beiwen Zhang;Rally Time;2;1;Spain Masters 2023;40;21;1;;;;;;;Construccion;;;
Beiwen Zhang;"-9;53 (1)";8;11;9;175900;5000;5;ESP;USA;Before;Clara Azurmendi-Beiwen Zhang;Right handed;Right handed;Clara Azurmendi;Beiwen Zhang;Rally Time;2;1;Spain Masters 2023;40;21;9;;;;;;;Attack;;;
Clara Azurmendi;"-2;-39 (1)";8;12;7;179800;5000;5;ESP;USA;Before;Clara Azurmendi-Beiwen Zhang;Right handed;Right handed;Clara Azurmendi;Beiwen Zhang;Rally Time;2;1;Spain Masters 2023;40;21;7;;;;;;;Defence;;;
Beiwen Zhang;"-4;9 (1)";8;13;2;180266;5000;5;ESP;USA;Before;Clara Azurmendi-Beiwen Zhang;Right handed;Right handed;Clara Azurmendi;Beiwen Zhang;Rally Time;2;1;Spain Masters 2023;40;21;2;;;;;;;Defence;;;
Clara Azurmendi;"13;-56 (1)";8;14;9;181400;5000;5;ESP;USA;Before;Clara Azurmendi-Beiwen Zhang;Right handed;Right handed;Clara Azurmendi;Beiwen Zhang;Rally Time;2;1;Spain Masters 2023;40;21;9;;;;;;;Defence;Reves;;
Beiwen Zhang;"13;55 (2)";8;15;12;183033;5000;5;ESP;USA;Before;Clara Azurmendi-Beiwen Zhang;Right handed;Right handed;Clara Azurmendi;Beiwen Zhang;Rally Time;2;1;Spain Masters 2023;40;21;12;;;;;;;Construccion;;;
Clara Azurmendi;"-8;-16 (1)";8;16;4;183033;5000;5;ESP;USA;Before;Clara Azurmendi-Beiwen Zhang;Right handed;Right handed;Clara Azurmendi;Beiwen Zhang;Rally Time;2;1;Spain Masters 2023;40;21;4;;;;;;;Construccion;;;
Beiwen Zhang;"-11;53 (1)";8;17;9;183033;5000;5;ESP;USA;Before;Clara Azurmendi-Beiwen Zhang;Right handed;Right handed;Clara Azurmendi;Beiwen Zhang;Rally Time;2;1;Spain Masters 2023;40;21;9;;;;;;;Attack;;;
