Jugador del golpeo;Nombre;Rally;Stroke;Zone;Posición;Duración;#Rounds;Country Player1;Country Player2;Interval;Match;Play R or L Player1;Play R or L Player2;Player1;Player2;Rally Time;Round;Set;Tournament;WR Player1;WR Player2;Field Position;Player on C1;Type of service;Zona de C1;Game Phase;Barrido Fuerte;Rally Outcome;Rest Time;Tipo de recepcion;Reves;Match Duration
Clara Azurmendi;"14;16 (2)";9;6;4;483360;5000;5;ESP;IND;Before;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;4;;;;Defence;;;;;;
Pusharla V Shindu;"13;-54 (1)";9;7;9;487320;5000;5;ESP;IND;Before;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;9;;;;Construccion;;;;;;
Clara Azurmendi;"-14;55 (4)";9;8;9;487320;5000;5;ESP;IND;Before;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;9;;;;Defence;;;;;;
Pusharla V Shindu;"-13;-10 (1)";9;9;4;489320;5000;5;ESP;IND;Before;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;4;;;;Construccion;;;;;;
Clara Azurmendi;"-14;9 (1)";9;10;1;489320;5000;5;ESP;IND;Before;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;1;;;;Defence;;;;;;
Pusharla V Shindu;"-2;1 (1)";9;11;2;491280;5000;5;ESP;IND;Before;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;NET;;;;Construccion;;Error Clara Azurmendi;;;;
Clara Azurmendi;Rest Time (9);9;;;493920;17720;5;ESP;IND;Before;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;;2;1;Indonesia Master 2021;58;7;;;;;;;;Rest Time;;;
Clara Azurmendi;Rally Time (10);10;;;511640;11520;5;ESP;IND;Before;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;;;;;;;;;;;
Pusharla V Shindu;"-2;-26 (1)";10;1;7;509640;5000;5;ESP;IND;Before;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;7;Pusarla V Shindu;Backhand short service;7;Construccion;;;;;;
Clara Azurmendi;"9;15 (1)";10;2;4;510600;5000;5;ESP;IND;Before;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;4;;;;Construccion;;;;Finta;;
Pusharla V Shindu;"11;-7 (1)";10;3;1;510800;5000;5;ESP;IND;Before;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;1;;;;Defence;;;;;;
Clara Azurmendi;"-11;56 (1)";10;4;9;512440;5000;5;ESP;IND;Before;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;9;;;;Construccion;;;;;;
Pusharla V Shindu;"-14;-55 (3)";10;5;12;512440;5000;5;ESP;IND;Before;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;12;;;;Defence;;;;;;
Clara Azurmendi;"-14;54 (2)";10;6;9;514160;5000;5;ESP;IND;Before;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;9;;;;Defence;;;;;;
Pusharla V Shindu;"-14;-54 (1)";10;7;12;515440;5000;5;ESP;IND;Before;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;12;;;;Attack;;;;;;
