Jugador del golpeo;Nombre;Rally;Stroke;Zone;Posición;Duración;#Rounds;Country Player1;Country Player2;Interval;Match;Play R or L Player1;Play R or L Player2;Player1;Player2;Rally Time;Round;Set;Tournament;WR Player1;WR Player2;Field Position;Player on C1;Type of service;Zona de C1;Game Phase;Rally Outcome;Rest Time;Tipo de recepcion;Reves;Barrido Fuerte;Match Duration
Clara Azurmendi;"9;54 (1)";8;5;12;191866;5000;5;ESP;JPN;Before;Clara Azurmendi-Natsuki Nidaira;Right handed;Right handed;Clara Azurmendi;Natsuki Nidaira;Rally Time;3;1;Canadian International Challenge 2022;34;50;12;;;;Attack;;;;;;
Natsuki Nidaira;"-12;-36 (1)";8;6;8;194000;5000;5;ESP;JPN;Before;Clara Azurmendi-Natsuki Nidaira;Right handed;Right handed;Clara Azurmendi;Natsuki Nidaira;Rally Time;3;1;Canadian International Challenge 2022;34;50;8;;;;Defence;;;;;;
Clara Azurmendi;"-14;15 (2)";8;7;1;194600;5000;5;ESP;JPN;Before;Clara Azurmendi-Natsuki Nidaira;Right handed;Right handed;Clara Azurmendi;Natsuki Nidaira;Rally Time;3;1;Canadian International Challenge 2022;34;50;1;;;;Defence;;;;;;
Natsuki Nidaira;"12;-53 (2)";8;8;9;195533;5000;5;ESP;JPN;Before;Clara Azurmendi-Natsuki Nidaira;Right handed;Right handed;Clara Azurmendi;Natsuki Nidaira;Rally Time;3;1;Canadian International Challenge 2022;34;50;9;;;;Construccion;;;;;;
Clara Azurmendi;"-14;15 (3)";8;9;1;195533;5000;5;ESP;JPN;Before;Clara Azurmendi-Natsuki Nidaira;Right handed;Right handed;Clara Azurmendi;Natsuki Nidaira;Rally Time;3;1;Canadian International Challenge 2022;34;50;1;;;;Construccion;;;;;;
Natsuki Nidaira;"-15;-54 (2)";8;10;12;195533;5000;5;ESP;JPN;Before;Clara Azurmendi-Natsuki Nidaira;Right handed;Right handed;Clara Azurmendi;Natsuki Nidaira;Rally Time;3;1;Canadian International Challenge 2022;34;50;12;;;;Construccion;;;;;;
Clara Azurmendi;"-14;11 (1)";8;11;1;195533;5000;5;ESP;JPN;Before;Clara Azurmendi-Natsuki Nidaira;Right handed;Right handed;Clara Azurmendi;Natsuki Nidaira;Rally Time;3;1;Canadian International Challenge 2022;34;50;1;;;;Construccion;;;;;;
Natsuki Nidaira;"-14;-7 (1)";8;12;4;195533;5000;5;ESP;JPN;Before;Clara Azurmendi-Natsuki Nidaira;Right handed;Right handed;Clara Azurmendi;Natsuki Nidaira;Rally Time;3;1;Canadian International Challenge 2022;34;50;4;;;;Defence;;;;;;
Clara Azurmendi;"-15;54 (2)";8;13;9;201166;5000;5;ESP;JPN;Before;Clara Azurmendi-Natsuki Nidaira;Right handed;Right handed;Clara Azurmendi;Natsuki Nidaira;Rally Time;3;1;Canadian International Challenge 2022;34;50;9;;;;Attack;;;;;;
Natsuki Nidaira;"-14;-38 (1)";8;14;8;202233;5000;5;ESP;JPN;Before;Clara Azurmendi-Natsuki Nidaira;Right handed;Right handed;Clara Azurmendi;Natsuki Nidaira;Rally Time;3;1;Canadian International Challenge 2022;34;50;8;;;;Defence;;;;;;
Clara Azurmendi;"-15;11 (1)";8;15;1;202833;5000;5;ESP;JPN;Before;Clara Azurmendi-Natsuki Nidaira;Right handed;Right handed;Clara Azurmendi;Natsuki Nidaira;Rally Time;3;1;Canadian International Challenge 2022;34;50;1;;;;Construccion;;;;;;
Natsuki Nidaira;"-15;-55 (3)";8;16;12;202833;5000;5;ESP;JPN;Before;Clara Azurmendi-Natsuki Nidaira;Right handed;Right handed;Clara Azurmendi;Natsuki Nidaira;Rally Time;3;1;Canadian International Challenge 2022;34;50;12;;;;Defence;;;;;;
Clara Azurmendi;"-15;12 (1)";8;17;1;205066;5000;5;ESP;JPN;Before;Clara Azurmendi-Natsuki Nidaira;Right handed;Right handed;Clara Azurmendi;Natsuki Nidaira;Rally Time;3;1;Canadian International Challenge 2022;34;50;1;;;;Construccion;;;;;;
Natsuki Nidaira;"-15;-55 (4)";8;18;12;205066;5000;5;ESP;JPN;Before;Clara Azurmendi-Natsuki Nidaira;Right handed;Right handed;Clara Azurmendi;Natsuki Nidaira;Rally Time;3;1;Canadian International Challenge 2022;34;50;12;;;;Defence;;;;;;
Clara Azurmendi;"-14;11 (2)";8;19;1;207333;5000;5;ESP;JPN;Before;Clara Azurmendi-Natsuki Nidaira;Right handed;Right handed;Clara Azurmendi;Natsuki Nidaira;Rally Time;3;1;Canadian International Challenge 2022;34;50;1;;;;Defence;;;;;;
Natsuki Nidaira;"11;-12 (1)";8;20;1;208366;5000;5;ESP;JPN;Before;Clara Azurmendi-Natsuki Nidaira;Right handed;Right handed;Clara Azurmendi;Natsuki Nidaira;Rally Time;3;1;Canadian International Challenge 2022;34;50;1;;;;Construccion;;;;;;
Clara Azurmendi;"13;55 (1)";8;21;12;208366;5000;5;ESP;JPN;Before;Clara Azurmendi-Natsuki Nidaira;Right handed;Right handed;Clara Azurmendi;Natsuki Nidaira;Rally Time;3;1;Canadian International Challenge 2022;34;50;12;;;;Defence;;;;;;
Natsuki Nidaira;"13;-55 (1)";8;22;9;210600;5000;5;ESP;JPN;Before;Clara Azurmendi-Natsuki Nidaira;Right handed;Right handed;Clara Azurmendi;Natsuki Nidaira;Rally Time;3;1;Canadian International Challenge 2022;34;50;9;;;;Construccion;;;;;;
Clara Azurmendi;"15;56 (1)";8;23;12;210600;5000;5;ESP;JPN;Before;Clara Azurmendi-Natsuki Nidaira;Right handed;Right handed;Clara Azurmendi;Natsuki Nidaira;Rally Time;3;1;Canadian International Challenge 2022;34;50;12;;;;Defence;;;;;;
Natsuki Nidaira;"-10;1 (1)";8;24;1;212966;5000;5;ESP;JPN;Before;Clara Azurmendi-Natsuki Nidaira;Right handed;Right handed;Clara Azurmendi;Natsuki Nidaira;Rally Time;3;1;Canadian International Challenge 2022;34;50;NET;;;;Construccion;Error Clara Azurmendi;;;;;
Natsuki Nidaira;Rest Time (8);8;;;216600;23366;5;ESP;JPN;Before;Clara Azurmendi-Natsuki Nidaira;Right handed;Right handed;Clara Azurmendi;Natsuki Nidaira;;3;1;Canadian International Challenge 2022;34;50;;;;;;;Rest Time;;;;
